Datum,total number of Likes,Daily new Likes,Daily new Dislikes,Daily Users' Interactions
2017-04-01,9716,1,2,4
2017-04-02,9716,0,0,1
2017-04-03,9718,2,0,5
2017-04-04,9719,1,0,3
2017-04-05,9720,2,1,11
2017-04-06,9720,2,2,9
2017-04-07,9720,1,1,3
2017-04-08,9723,3,0,5
2017-04-09,9722,0,1,1
2017-04-10,9727,6,1,199
2017-04-11,9730,4,1,46
2017-04-12,9729,1,2,124
2017-04-13,9728,2,3,50
2017-04-14,9733,6,1,30
2017-04-15,9731,1,3,8
2017-04-16,9730,0,1,3
2017-04-17,9737,7,0,24
2017-04-18,9738,1,0,11
2017-04-19,9738,1,1,14
2017-04-20,9738,2,2,5
2017-04-21,9738,3,3,47
2017-04-22,9739,4,3,15
2017-04-23,9740,3,2,7
2017-04-24,9742,2,0,7
2017-04-25,9745,4,1,12
2017-04-26,9745,0,0,39
2017-04-27,9746,1,0,8
2017-04-28,9750,5,1,132
2017-04-29,9749,1,1,16
2017-04-30,9748,0,1,2
2017-05-01,9749,2,1,6
2017-05-02,9752,4,1,243
2017-05-03,9752,1,1,33
2017-05-04,9748,0,4,75
2017-05-05,9750,2,0,29
2017-05-06,9748,1,3,3
2017-05-07,9753,5,0,13
2017-05-08,9755,3,1,19
2017-05-09,9756,3,2,15
2017-05-10,9756,1,1,13
2017-05-11,9756,3,3,65
2017-05-12,9758,3,1,38
2017-05-13,9758,1,1,8
2017-05-14,9759,1,0,7
2017-05-15,9757,0,2,72
2017-05-16,9756,1,2,19
2017-05-17,9758,2,0,10
2017-05-18,9760,2,0,8
2017-05-19,9759,2,3,62
2017-05-20,9760,2,1,20
2017-05-21,9761,1,0,10
2017-05-22,9759,0,2,32
2017-05-23,9762,3,0,47
2017-05-24,9765,4,1,60
2017-05-25,9766,1,0,33
2017-05-26,9766,1,1,23
2017-05-27,9766,0,0,7
2017-05-28,9766,0,0,2
2017-05-29,9766,1,1,9
2017-05-30,9766,0,0,36
2017-05-31,9768,2,0,64
2017-06-01,9768,0,0,66
2017-06-02,9768,0,0,19
2017-06-03,9767,0,1,11
2017-06-04,9771,4,0,8
2017-06-05,9771,1,1,2
2017-06-06,9773,2,0,46
2017-06-07,9772,1,2,10
2017-06-08,9772,0,0,8
2017-06-09,9771,0,1,28
2017-06-10,9772,1,0,6
2017-06-11,9771,1,2,28
2017-06-12,9770,1,2,8
2017-06-13,9771,1,0,56
2017-06-14,9771,2,2,86
2017-06-15,9773,3,1,69
2017-06-16,9771,0,2,14
