Campaign;Clicks;Costs (in dollars);Costs (indollars);Month
Spenden_BMM;0;;0.0;01.12.2016
Spenden_BMM;0;;0.0;01.08.2016
Kinder_BMM;0;;0.0;01.10.2016
Eigenname_BMM;0;;0.0;01.11.2016
Lebensmittel_BMM;0;;0.0;01.05.2016
Lebensmittel_BMM;0;;0.0;01.08.2016
Öffentlichkeit;768;;369.93;01.07.2016
Kinder_EX;0;;0.0;01.02.2016
Kinder_EX;0;;0.0;01.07.2016
Kinder_EX;0;;0.0;01.12.2016
Kinder_EX;0;;0.0;01.08.2016
Eigenname_BMM;0;;0.0;01.04.2016
Lebensmittel_BMM;0;;0.0;01.07.2016
Öffentlichkeit;987;;479.39;01.04.2016
Öffentlichkeit;710;;330.9;01.05.2016
Öffentlichkeit;1053;;535.04;01.11.2016
Kinder_EX;0;;0.0;01.01.2016
Kinder_EX;0;;0.0;01.04.2016
Kinder_EX;0;;0.0;01.11.2016
Aktionen_BMM;0;;0.0;01.03.2016
Aktionen_BMM;0;;0.0;01.04.2016
Aktionen_BMM;0;;0.0;01.12.2016
Ehrenamt_BMM;0;;0.0;01.01.2016
Aktionen_EX;0;;0.0;01.01.2016
Aktionen_EX;0;;0.0;01.05.2016
Ehrenamt_BMM;0;;0.0;01.10.2016
Ehrenamt_BMM;0;;0.0;01.12.2016
Ehrenamt_BMM;0;;0.0;01.08.2016
Fundraising;755;;1115.44;01.11.2016
Fundraising;2714;;4142.41;01.12.2016
Fundraising;0;;0.0;01.10.2016
Eigenname_EX;0;;0.0;01.02.2016
Eigenname_EX;0;;0.0;01.12.2016
Lebensmittel_EX;0;;0.0;01.01.2016
Lebensmittel_EX;0;;0.0;01.06.2016
Ehrenamt_EX;0;;0.0;01.04.2016
Ehrenamt_EX;0;;0.0;01.07.2016
Spenden_EX;0;;0.0;01.03.2016
Spenden_BMM;0;;0.0;01.10.2016
Kinder_BMM;0;;0.0;01.04.2016
Lebensmittel_EX;0;;0.0;01.09.2016
Lebensmittel_EX;0;;0.0;01.12.2016
Lebensmittel_EX;0;;0.0;01.08.2016
Ehrenamt_EX;0;;0.0;01.05.2016
Ehrenamt_EX;0;;0.0;01.10.2016
Spenden_BMM;0;;0.0;01.06.2016
Spenden_BMM;0;;0.0;01.09.2016
Lebensmittel_BMM;0;;0.0;01.02.2016
Lebensmittel_BMM;0;;0.0;01.03.2016
Öffentlichkeit;1080;;579.04;01.03.2016
Öffentlichkeit;7584;;5190.12;01.12.2016
Kinder_EX;0;;0.0;01.09.2016
Eigenname_BMM;0;;0.0;01.01.2016
Eigenname_BMM;0;;0.0;01.05.2016
